1,1,61,0,TC3_1,3
2,2,60,0,TC3_1,3
3,3,66,0,TC3_2,3
4,4,64,0,TC3_2,3
5,5,35,0,TC1_3,1
6,6,34,0,TC1_3,1
7,7,28,0,TC1_2,1
8,8,29,0,TC1_2,1
9,9,59,0,TC3_1,3
10,10,62,0,TC3_1,3
11,11,67,0,TC3_2,3
12,12,65,0,TC3_2,3
13,14 & 15,33,0,TC1_3,1
14,16,32,0,TC1_3,1
15,17,30,0,TC1_2,1
16,18,31,0,TC1_2,1
17,19,25,1,TC1_1,1
18,20,58,0,TC3_0,3
19,21,56,0,TC3_0,3
20,22,71,0,TC3_3,3
21,23,69,0,TC3_3,3
22,24,22,0,TC1_0,1
23,25,20,0,TC1_0,1
24,26,24,0,TC1_1,1
25,27,26,0,TC1_1,1
26,28,23,1,TC1_1,1
27,29,26,1,TC1_1,1
28,30,57,0,TC3_0,3
29,31,55,0,TC3_0,3
30,32,70,0,TC3_3,3
31,33,68,0,TC3_3,3
32,34,21,0,TC1_0,1
33,35 & 36,19,0,TC1_0,1
34,37,23,0,TC1_1,1
35,38,25,0,TC1_1,1
36,39,13,1,TC0_3,0
37,40 & 41,24,1,TC1_1,1
38,42,21,1,TC1_0,1
39,43,49,0,TC2_3,2
40,44,52,0,TC2_3,2
41,45,37,0,TC2_0,2
42,46,36,0,TC2_0,2
43,47,10,0,TC0_2,0
44,48,12,0,TC0_2,0
45,49,15,0,TC0_3,0
46,50,16,0,TC0_3,0
47,51,16,1,TC0_3,0
48,52,15,1,TC0_3,0
49,53,19,1,TC1_0,1
50,54,20,1,TC1_0,1
51,55,50,0,TC2_3,2
52,56,51,0,TC2_3,2
53,57,39,0,TC2_0,2
54,58,38,0,TC2_0,2
55,59,9,0,TC0_2,0
56,60,11,0,TC0_2,0
57,61 & 62,14,0,TC0_3,0
58,63,13,0,TC0_3,0
59,64,0,1,TC0_0,0
60,66,14,1,TC0_3,0
61,67 & 68,6,1,TC0_1,0
62,69,22,1,TC1_0,1
63,70,9,1,TC0_2,0
64,71,45,0,TC2_2,2
65,72,46,0,TC2_2,2
66,73,42,0,TC2_1,2
67,74,40,0,TC2_1,2
68,75,2,0,TC0_0,0
69,76,1,0,TC0_0,0
70,77,4,0,TC0_1,0
71,78,5,0,TC0_1,0
72,79,2,1,TC0_0,0
73,80,1,1,TC0_0,0
74,81,5,1,TC0_1,0
75,82,7,1,TC0_1,0
76,83,12,1,TC0_2,0
77,84,11,1,TC0_2,0
78,85,48,0,TC2_2,2
79,86,47,0,TC2_2,2
80,87,41,0,TC2_1,2
81,88,43,0,TC2_1,2
82,89,0,0,TC0_0,0
83,91,3,0,TC0_0,0
84,92,6,0,TC0_1,0
85,93 & 94,7,0,TC0_1,0
86,95,30,1,TC1_2,2
87,96,3,1,TC0_0,0
88,97,31,1,TC1_2,2
89,98 & 99,4,1,TC0_1,0
90,100,29,1,TC1_2,2
91,101,10,1,TC0_2,0
92,102,28,1,TC1_2,2
