1,5,4,1,TC0_1,0,2
2,6,6,1,TC0_1,0,2
3,7,34,1,TC1_3,1,2
4,8,32,1,TC1_3,1,2
5,15,2,1,TC0_0,0,2
6,16,7,1,TC0_1,0,2
7,17,5,1,TC0_1,0,2
8,18,35,1,TC1_3,1,2
9,19,33,1,TC1_3,1,2
10,25,0,1,TC0_0,0,2
11,26,10,1,TC0_2,0,2
12,27,11,1,TC0_2,0,2
13,28,28,1,TC1_2,1,2
14,29,30,1,TC1_2,1,2
15,36,3,1,TC0_0,0,2
16,37,1,1,TC0_0,0,2
17,38,9,1,TC0_2,0,2
18,39,12,1,TC0_2,0,2
19,40,29,1,TC1_2,1,2
20,42,31,1,TC1_2,1,2
21,49,14,1,TC0_3,0,2
22,50,13,1,TC0_3,0,2
23,51,19,1,TC1_0,1,2
24,52,21,1,TC1_0,1,2
25,53,26,1,TC1_1,1,2
26,54,25,1,TC1_1,1,2
27,62,41,0,TC2_1,2,1
28,63,16,1,TC0_3,0,2
29,64,15,1,TC0_3,0,2
30,66,20,1,TC1_0,1,2
31,67,22,1,TC1_0,1,2
32,69,24,1,TC1_1,1,2
33,70,23,1,TC1_1,1,2
34,78,43,0,TC2_1,2,1
35,79,50,0,TC2_3,2,1
36,80,51,0,TC2_3,2,1
37,81,56,0,TC3_0,3,1
38,82,58,0,TC3_0,3,1
39,83,64,0,TC3_2,3,1
40,84,65,0,TC3_2,3,1
41,94,40,0,TC2_1,2,1
42,95,42,0,TC2_1,2,1
43,96,49,0,TC2_3,2,1
44,97,52,0,TC2_3,2,1
45,98,55,0,TC3_0,3,1
46,100,57,0,TC3_0,3,1
47,101,66,0,TC3_2,3,1
48,102,67,0,TC3_2,3,1
49,111,39,0,TC2_0,2,1
50,112,37,0,TC2_0,2,1
51,113,47,0,TC2_2,2,1
52,114,46,0,TC2_2,2,1
53,115,62,0,TC3_1,3,1
54,116,61,0,TC3_1,3,1
55,117,68,0,TC3_3,3,1
56,118,71,0,TC3_3,3,1
57,128,38,0,TC2_0,2,1
58,129,45,0,TC2_2,2,1
59,130,48,0,TC2_2,2,1
60,131,59,0,TC3_1,3,1
61,133,60,0,TC3_1,3,1
62,134,69,0,TC3_3,3,1
63,135,70,0,TC3_3,3,1
64,143,36,0,TC2_0,2,1
65,144,2,0,TC0_0,0,1
66,145,0,0,TC0_0,0,1
67,146,35,0,TC1_3,1,1
68,147,33,0,TC1_3,1,1
69,148,29,0,TC1_2,1,1
70,150,30,0,TC1_2,1,1
71,159,1,0,TC0_0,0,1
72,161,3,0,TC0_0,0,1
73,162,34,0,TC1_3,1,1
74,163,32,0,TC1_3,1,1
75,165,28,0,TC1_2,1,1
76,166,31,0,TC1_2,1,1
77,174,7,0,TC0_1,0,1
78,175,6,0,TC0_1,0,1
79,176,19,0,TC1_0,1,1
80,177,22,0,TC1_0,1,1
81,178,25,0,TC1_1,1,1
82,179,26,0,TC1_1,1,1
83,187,5,0,TC0_1,0,1
84,188,20,0,TC1_0,1,1
85,189,21,0,TC1_0,1,1
86,190,23,0,TC1_1,1,1
87,192,24,0,TC1_1,1,1
88,198,4,0,TC0_1,0,1
89,199,9,0,TC0_2,0,1
90,200,12,0,TC0_2,0,1
91,201,13,0,TC0_3,0,1
92,202,16,0,TC0_3,0,1
93,209,10,0,TC0_2,0,1
94,210,11,0,TC0_2,0,1
95,211,15,0,TC0_3,0,1
96,212,14,0,TC0_3,0,1
97,208,27,0,!,0,0
98,186,18,0,!,0,0
99,158,27,1,!,0,0
100,127,18,1,!,0,0
